EC	max_kcat
1	0.7
1.1.1	44.0
1.1.1.1	20.33333
1.1.1.183	1.8
1.1.1.195	40.56833
1.1.1.206	25.6
1.1.1.22	2.52
1.1.1.236	6.84
1.1.1.25	428.0
1.1.1.284	22.51667
1.1.1.3	245.0
1.1.1.334	5.538
1.1.1.37	2027.2
1.1.1.40	324.1
1.1.1.79	22.5
1.1.1.82	2125.0
1.1.1.95	174.1
1.1.1.n11	17.0
1.10.3.1	1400.0
1.10.3.2	0.05116667
1.11.1.11	159.0
1.11.1.7	10200.0
1.13.11.12	513.0
1.13.11.20	31.0
1.13.11.46	0.065
1.13.11.54	11.7
1.14	10.2
1.14.11.31	0.0191
1.14.11.32	0.0161
1.14.11.59	2.1
1.14.13	0.58
1.14.14.111	49.0
1.14.14.137	0.25
1.14.14.141	5.666667
1.14.14.149	0.582
1.14.14.151	20.7
1.14.14.36	3.8
1.14.14.38	0.07166667
1.14.14.40	0.004
1.14.14.43	2.333333
1.14.14.45	0.8833333
1.14.14.58	0.11
1.14.14.59	0.2
1.14.14.70	0.022
1.14.14.88	0.1
1.14.14.90	0.033
1.14.14.91	7.0
1.14.17.4	0.09333333
1.14.19.2	6.1
1.14.20.6	0.056
1.18.1.2	520.0
1.2.1.11	15.6
1.2.1.12	122.24
1.2.1.13	61.0
1.2.1.44	1.55
1.2.3.4	10.0
1.20.4.1	0.33
1.3.1	75.0
1.3.1.123	0.72
1.3.1.74	2.82
1.3.1.77	1.338333
1.3.1.78	84.2
1.3.2.3	240.0
1.3.8.4	0.98
1.3.99.12	1.77
1.4.3.21	32.9
1.4.3.22	262.0
1.5.99.12	278.0
1.6.2.4	320.0
1.6.2.6	392.0
1.6.5.12	0.44
1.8.1.4	383.0
1.8.1.9	1.77
1.8.4.12	2.94
1.8.4.9	56.0
1.8.5.1	490.0
2.1.1	0.1
2.1.1.115	0.05
2.1.1.122	0.5
2.1.1.127	0.047
2.1.1.128	0.08
2.1.1.141	70.0
2.1.1.142	0.001
2.1.1.146	0.33
2.1.1.165	70000000.0
2.1.1.240	0.086
2.1.1.241	0.249
2.1.1.267	2.3825
2.1.1.274	0.092
2.1.1.277	0.45
2.1.1.278	0.028
2.1.1.280	0.0074
2.1.1.300	4.7e-05
2.1.1.41	0.02
2.1.1.50	0.31
2.1.1.53	0.388
2.1.1.68	0.26
2.1.1.7	5.83
2.1.1.n7	0.00047
2.1.2.1	21.8
2.10.1.1	2.5
2.2.1.1	0.0186
2.2.1.6	0.634
2.3.1	13.2
2.3.1.159	0.027
2.3.1.172	8.7
2.3.1.177	0.017
2.3.1.196	4.6
2.3.1.206	0.05766667
2.3.1.208	0.037
2.3.1.214	0.76
2.3.1.224	17.5
2.3.1.232	0.022
2.3.1.30	330.0
2.3.1.74	0.1636667
2.4.1	1.6
2.4.1.111	4.52
2.4.1.13	142.8
2.4.1.17	35.0
2.4.1.170	3.0
2.4.1.195	1.0
2.4.1.202	22.7
2.4.1.234	89.6
2.4.1.299	0.39
2.4.1.300	0.17
2.4.1.85	10.6
2.5.1	0.05333333
2.5.1.10	6.616667
2.5.1.18	0.98
2.5.1.27	0.02716667
2.5.1.45	0.032
2.5.1.46	0.032
2.5.1.47	2170.0
2.5.1.48	30.0
2.6.1	2.07
2.6.1.1	574.0
2.6.1.2	6.47
2.6.1.36	5.33
2.6.1.45	6.4
2.6.1.83	17.6
2.6.1.85	0.15
2.7.1.1	5.01
2.7.1.26	0.583
2.7.1.31	200.0
2.7.1.40	95000.0
2.7.1.43	8.5
2.7.2.4	23.4
2.7.4.3	3.66
2.7.4.6	147.0
2.7.4.8	3.9
2.7.7	2.7
2.7.7.27	207.0
2.7.7.3	3.4
2.7.7.4	218.0
2.7.7.60	26.0
2.7.7.69	64.0
2.7.9.1	43.66667
2.8.1.1	10.7
2.8.1.2	165.0
2.8.2	9.91e-05
3.1.1	2.0
3.1.1.1	10.1
3.1.1.14	9.433333
3.1.1.6	0.25
3.1.1.96	300.0
3.1.2.6	6780.0
3.1.3.11	125.0
3.1.3.2	3370.0
3.1.3.37	81.0
3.1.3.41	0.5
3.1.3.48	0.15
3.1.7.11	1.0
3.2.1.1	280.0
3.2.1.14	69.01
3.2.1.147	287.0
3.2.1.161	500.0
3.2.1.182	1201.0
3.2.1.20	100.4
3.2.1.21	353.2
3.2.1.23	226.0
3.2.1.25	16.1
3.2.1.26	7250.0
3.2.1.37	1.65
3.2.1.39	155.0
3.2.1.55	15.0
3.2.1.58	4.7
3.2.1.74	14.14
3.2.1.78	12.9
3.4.11.1	574.7833
3.4.19.5	4.58
3.4.22	24.4
3.4.22.2	45.0
3.4.22.25	5.1
3.4.23	89.4
3.5.1.1	63.5
3.5.1.116	55.0
3.5.1.2	0.045
3.5.1.5	2766.667
3.5.1.88	259.0
3.5.1.99	0.33
3.5.2.17	11.0
3.5.2.5	3423.0
3.5.3.1	490.0
3.5.3.9	78.0
3.5.4	0.21
3.6.1	16.9
3.6.1.1	102.5
3.6.1.13	0.81
3.6.1.18	0.08
3.6.1.21	16.7
3.6.1.22	3.92
3.6.1.5	0.039
3.6.1.55	0.83
3.6.3	0.002833333
3.9.1	1.27
4.1.1.17	77.78
4.1.1.19	0.00275
4.1.1.31	164.0
4.1.1.35	1.69
4.1.1.39	2.9
4.1.1.50	48.33333
4.1.2.10	1840.0
4.1.2.11	0.015
4.1.2.13	40.0
4.1.2.47	3436.0
4.1.2.8	2.8
4.2.1.1	532000.0
4.2.1.105	18.1
4.2.1.122	0.015
4.2.1.139	590.0
4.2.1.51	0.16
4.2.1.91	6.1
4.2.1.92	528.0
4.2.3.1	0.86
4.2.3.107	2.25
4.2.3.108	0.001
4.2.3.110	0.96
4.2.3.128	0.00035
4.2.3.16	0.105
4.2.3.17	0.16
4.2.3.199	2.09
4.2.3.20	0.43
4.2.3.27	0.088
4.2.3.4	0.9
4.2.3.47	0.1
4.2.3.67	0.18
4.3.1.23	0.75
4.3.1.24	115.8
4.3.1.25	11.9
4.3.2.3	0.01758333
4.3.2.7	0.6433333
4.4.1.14	9.6
4.4.1.9	2.666667e-06
4.6.1.12	2.5
5.1.3.1	0.1382
5.1.3.18	0.127
5.1.3.2	128.0
5.1.3.6	24.0
5.3.1.6	3440.0
5.4.2.12	950.0
5.4.4.2	0.645
5.5.1.4	0.1066667
5.5.1.6	215.0
6.2.1	19.87
6.2.1.3	19.87
6.3.1.2	8.08
6.3.2	1.2
6.3.2.2	0.1133333
6.3.2.52	0.07333333
6.3.3.2	5.333333
6.3.4.4	3.1
