Entry	Entry Name
A0A059TC02	CCR1_PETHY
A0A072VDF2	CCR1_MEDTR
A0A075D5I4	PINMT_RAUSE
A0A075D657	PINMT_VINMI
A0A087H4Z8	A0A087H4Z8_ARAAL
A0A0B6CGH9	F7ODM_OCIBA
A0A0D3CVH6	A0A0D3CVH6_BRAOL
A0A0N9HMN6	POMT3_SINHE
A0A0N9HTA1	DOMT1_SINHE
A0A0S2UWC9	CAMT1_PETHY
A0A166U5H3	BMT_KITPR
A0A193AU77	GGT24_PUNGR
A0A193AUF6	GGT23_PUNGR
A0A1D6K6U5	CPPS2_MAIZE
A0A2K8FQU5	TAT_CATRO
A0A2Z5D854	C71Z4_PASSA
A0A2Z5QKZ7	ORS_RHODA
A0A343URW6	TEX1_CATRO
A0A4P8DY91	COMTS_KITPR
A0A4Y7K5M0	A0A4Y7K5M0_PAPSO
A1XLE2	TFP_LEPSV
A1XWY7	CFAT_PETHY
A2RVU1	MWL1_ARATH
A3R052	PILR1_LINPE
A6XNC6	UGFGT_MEDTR
A7WPL6	BBLB_TOBAC
A8MRX0	GSOX5_ARATH
B0EXJ8	HTOMT_CATRO
B0LDU5	PKS4_RUBID
B0LL23	PLR_SINHE
B1NF19	C719D_ARGME
B3H7I1	SOP12_ARATH
B5KRH5	PILR1_LINCY
B5LAT8	CAD1_CAPAN
D4N500	DIOX1_PAPSO
D4N502	DIOX3_PAPSO
D4NUX0	HCT1_ACTRA
D7KXF0	D7KXF0_ARALL
D7LKI6	D7LKI6_ARALL
E6Y2X0	PILR2_LINUS
F1T160	BBLA_TOBAC
F1T161	BBLC1_TOBAC
F4IN69	MD33B_ARATH
F4JKK0	SUD1_ARATH
F4JPW1	BASS5_ARATH
F4K2A1	FPGS1_ARATH
F5BHA2	T19H_CATRO
G1FNI6	TFP_THLAR
G7IYC1	CAD2_MEDTR
G7JEE5	CCR2_MEDTR
G7JRI4	G7JRI4_MEDTR
G9CU32	G9CU32_GOSHI
G9M9M3	F6H22_IPOBA
G9M9M4	F6H21_IPOBA
G9M9M5	F6H28_IPOBA
I1H6N9	I1H6N9_BRADI
I1LR10	I1LR10_SOYBN
I3PB36	CNL_PETHY
I3PB37	4CL1_PETHY
I3V6A7	SOMT1_PAPSO
I6WU39	OLIAC_CANSA
K4ABG1	K4ABG1_SETIT
L7X3S1	MSH_PAPSO
O04316	JAL29_ARATH
O04318	JAL27_ARATH
O22203	C98A3_ARATH
O23160	MYB73_ARATH
O23674	PKSA_ARATH
O24144	CAMT1_TOBAC
O24146	4CL2_TOBAC
O48676	U74B1_ARATH
O49163	HM1_MAIZE
O49326	JAL21_ARATH
O49482	CADH5_ARATH
O49499	CAMT4_ARATH
O49782	MYB51_ARATH
O64399	MYB34_ARATH
O64722	ZHD3_ARATH
O64883	BGL26_ARATH
O65782	C83B1_ARATH
O80434	LAC4_ARATH
O80852	GSTF9_ARATH
O81001	GRF1_ARATH
O81346	C79B2_ARATH
P0DKI7	STORR_PAPSO
P0DO22	V19H_CATRO
P0DO55	PAL1_FRIUN
P17814	4CL1_ORYSJ
P24481	PAL1_PETCR
P30074	CHS2_MEDSA
P35510	PAL1_ARATH
P37702	BGL38_ARATH
P42760	GSTF6_ARATH
P42761	GSTFA_ARATH
P42775	GBF2_ARATH
P46309	GSH1_ARATH
P46421	GSTU5_ARATH
P46422	GSTF2_ARATH
P48421	C83A1_ARATH
P48523	CADH4_ARATH
P92994	TCMO_ARATH
P93143	PILR1_FORIN
Q02971	CADH7_ARATH
Q02972	CADH8_ARATH
Q05431	APX1_ARATH
Q06509	COMT1_MAIZE
Q071N0	SALR_PAPSO
Q0DBF4	C7018_ORYSJ
Q0JA75	CADH7_ORYSJ
Q0WP12	HOL1_ARATH
Q15GI3	IGS1_PETHY
Q15GI4	EGS1_OCIBA
Q2KNL5	CADH1_OCIBA
Q38914	ANT_ARATH
Q38J50	FOMT2_WHEAT
Q39023	MPK3_ARATH
Q39026	MPK6_ARATH
Q39085	DIM_ARATH
Q39204	MYC2_ARATH
Q42524	4CL1_ARATH
Q42982	4CL2_ORYSJ
Q43128	PMA10_ARATH
Q43387	PER71_ARATH
Q4R0H9	PILR1_LINUS
Q4R0I0	PILR1_LINAL
Q501D8	C79B3_ARATH
Q50LH4	C7193_ESCCA
Q5NUF3	HIDH_SOYBN
Q5XEP9	KCS2_ARATH
Q67W82	4CL4_ORYSJ
Q67Z07	PER2_ARATH
Q68G84	PAM_TAXCH
Q69X58	C76M7_ORYSJ
Q6ETN3	4CL3_ORYSJ
Q6GZ04	PAM_TAXCA
Q6K9A2	CCR1_ORYSJ
Q6R0A6	MYB63_ARATH
Q6T1F5	COMT1_AMMMJ
Q6WUC1	6OMT_PAPSO
Q6WUC2	7OMT_PAPSO
Q6YTF1	C76M8_ORYSJ
Q6ZAC1	4CL5_ORYSJ
Q6ZD89	OMT1_ORYSJ
Q6ZHS4	CADH2_ORYSJ
Q7G191	ALDO4_ARATH
Q84J37	LAC15_ARATH
Q84XW5	OMT1_SECCE
Q8GRX1	BGL34_ARATH
Q8GU20	SG1_RAUSE
Q8GZU0	MAT_CATRO
Q8H8V7	AB5G_ORYSJ
Q8L7C9	GSTUK_ARATH
Q8LDM2	PKSB_ARATH
Q8LFX7	BDG1_ARATH
Q8RUW5	SCP8_ARATH
Q8RW96	2A5G_ARATH
Q8RXN0	AB11G_ARATH
Q8RY71	ESP_ARATH
Q8S8P5	WRK33_ARATH
Q8VXG7	PALY_MAIZE
Q8VZG8	MIK2_ARATH
Q8VZU3	SCP19_ARATH
Q8W1W9	5MAT1_SALSN
Q93XW5	NSP5_ARATH
Q949U1	C79F1_ARATH
Q94A84	U72E1_ARATH
Q94AR8	LEUC_ARATH
Q94CD1	HHT1_ARATH
Q94IP1	TCMO_SORBI
Q94K43	GSOX2_ARATH
Q96266	GSTF8_ARATH
Q96323	LDOX_ARATH
Q9C525	BGL21_ARATH
Q9C5C2	BGL37_ARATH
Q9C942	CSE_ARATH
Q9C969	ISS1_ARATH
Q9C9C9	SOT18_ARATH
Q9C9D0	SOT16_ARATH
Q9C9H1	GIS3_ARATH
Q9C9W4	TSM1_ARATH
Q9FE46	GSTFC_ARATH
Q9FE67	ERF80_ARATH
Q9FEY5	CHSH1_HUMLU
Q9FG67	MAM1_ARATH
Q9FH37	ILR3_ARATH
Q9FI78	HST_ARATH
Q9FIW4	BGL42_ARATH
Q9FJA2	TT2_ARATH
Q9FJZ9	PER72_ARATH
Q9FK25	OMT1_ARATH
Q9FLC0	PER52_ARATH
Q9FMT1	LEU31_ARATH
Q9FN52	MAM3_ARATH
Q9FUS6	GSTUD_ARATH
Q9FUS8	GSTUH_ARATH
Q9FUY7	C79F2_ARATH
Q9FV70	E2FC_ARATH
Q9FVQ6	PILR1_ARATH
Q9FX43	M2K9_ARATH
Q9FZ80	SOT17_ARATH
Q9LD13	PILR2_THUPL
Q9LD14	PILR1_THUPL
Q9LE06	BCAT4_ARATH
Q9LE86	S8H_ARATH
Q9LFH0	AB37G_ARATH
Q9LFJ8	U78D2_ARATH
Q9LHF0	ZHD9_ARATH
Q9LHN8	F6H1_ARATH
Q9LJG3	ESM1_ARATH
Q9LK50	AB26G_ARATH
Q9LN86	DRE1F_ARATH
Q9LPM9	BCAT6_ARATH
Q9LQ32	GXM3_ARATH
Q9LU36	4CL4_ARATH
Q9LUT2	METK4_ARATH
Q9LVD6	C81F2_ARATH
Q9LVF0	U84A2_ARATH
Q9LVR1	U72E2_ARATH
Q9LW27	C71BF_ARATH
Q9LXG0	ZHD8_ARATH
Q9LY00	WRK70_ARATH
Q9LYT3	DTX41_ARATH
Q9LYT7	LEUD2_ARATH
Q9LYU3	EF113_ARATH
Q9M0A7	GGP1_ARATH
Q9M156	U72B1_ARATH
Q9M7B8	C79D1_MANES
Q9S725	4CL2_ARATH
Q9S777	4CL3_ARATH
Q9S7D1	DGDG1_ARATH
Q9S7I6	RPK2_ARATH
Q9S7Z3	PCS1_ARATH
Q9S9N9	CCR1_ARATH
Q9SA47	MYB58_ARATH
Q9SB48	NCPR1_ARATH
Q9SBL1	HMNGT_SORBI
Q9SDM9	JAL28_ARATH
Q9SGU3	MYB72_ARATH
Q9SIV0	SUR1_ARATH
Q9SJ10	CADH3_ARATH
Q9SJ25	CADH2_ARATH
Q9SJL8	METK3_ARATH
Q9SJZ2	PER17_ARATH
Q9SK55	NAC42_ARATH
Q9SKK4	GSL_ARATH
Q9SPP9	RG1_RAUSE
Q9SR37	BGL23_ARATH
Q9SRY5	GSTF7_ARATH
Q9SS04	GSOX1_ARATH
Q9SUM3	NCPR2_ARATH
Q9SUQ8	DIR6_ARATH
Q9SVP6	PILR2_ARATH
Q9SXE1	GSOX3_ARATH
Q9SXS3	C93C2_GLYEC
Q9SZ46	C82C4_ARATH
Q9XIE2	AB36G_ARATH
Q9ZRW8	GSTUJ_ARATH
Q9ZT64	CBG_PINCO
Q9ZVQ3	GSTZ1_ARATH
Q9ZW84	LEUD1_ARATH
