Entry	Entry Name
A0A0D3CVH6	A0A0D3CVH6_BRAOL
A1XLE2	TFP_LEPSV
A8MRX0	GSOX5_ARATH
B3H7I1	SOP12_ARATH
D7KXF0	D7KXF0_ARALL
F4JPW1	BASS5_ARATH
G1FNI6	TFP_THLAR
O04316	JAL29_ARATH
O04318	JAL27_ARATH
O23160	MYB73_ARATH
O48676	U74B1_ARATH
O49326	JAL21_ARATH
O49782	MYB51_ARATH
O64399	MYB34_ARATH
O64722	ZHD3_ARATH
O64883	BGL26_ARATH
O65782	C83B1_ARATH
O81001	GRF1_ARATH
P37702	BGL38_ARATH
P42775	GBF2_ARATH
P46309	GSH1_ARATH
P48421	C83A1_ARATH
Q0WP12	HOL1_ARATH
Q38914	ANT_ARATH
Q39204	MYC2_ARATH
Q501D8	C79B3_ARATH
Q7G191	ALDO4_ARATH
Q8GRX1	BGL34_ARATH
Q8RW96	2A5G_ARATH
Q8RY71	ESP_ARATH
Q8VZG8	MIK2_ARATH
Q93XW5	NSP5_ARATH
Q949U1	C79F1_ARATH
Q94AR8	LEUC_ARATH
Q94K43	GSOX2_ARATH
Q9C5C2	BGL37_ARATH
Q9C9C9	SOT18_ARATH
Q9C9D0	SOT16_ARATH
Q9C9H1	GIS3_ARATH
Q9FE67	ERF80_ARATH
Q9FG67	MAM1_ARATH
Q9FH37	ILR3_ARATH
Q9FMT1	LEU31_ARATH
Q9FN52	MAM3_ARATH
Q9FUS6	GSTUD_ARATH
Q9FUY7	C79F2_ARATH
Q9FV70	E2FC_ARATH
Q9FZ80	SOT17_ARATH
Q9LE06	BCAT4_ARATH
Q9LHF0	ZHD9_ARATH
Q9LJG3	ESM1_ARATH
Q9LN86	DRE1F_ARATH
Q9LPM9	BCAT6_ARATH
Q9LVD6	C81F2_ARATH
Q9LXG0	ZHD8_ARATH
Q9LY00	WRK70_ARATH
Q9LYT7	LEUD2_ARATH
Q9LYU3	EF113_ARATH
Q9M0A7	GGP1_ARATH
Q9S7Z3	PCS1_ARATH
Q9SDM9	JAL28_ARATH
Q9SIV0	SUR1_ARATH
Q9SKK4	GSL_ARATH
Q9SR37	BGL23_ARATH
Q9SS04	GSOX1_ARATH
Q9SXE1	GSOX3_ARATH
Q9XIE2	AB36G_ARATH
Q9ZW84	LEUD1_ARATH
Q9ZW85	LEUD3_ARATH
V4JPF6	V4JPF6_EUTSA
C0SUW7	ARID6_ARATH
F4JB53	F4JB53_ARATH
O04336	WRK21_ARATH
O65790	C81F1_ARATH
P46010	NRL3_ARATH
Q39263	ZFP4_ARATH
Q39266	ZFP7_ARATH
Q67XJ2	NFYBA_ARATH
Q8H115	NA102_ARATH
Q93Y23	GSOX4_ARATH
Q9C6K3	DF1_ARATH
Q9FJ93	DRE1D_ARATH
Q9LPU5	IGMT1_ARATH
Q9M0A5	GGP3_ARATH
Q9MAT6	HMG15_ARATH
Q9SZU1	C81F4_ARATH
A0A061DWT7	A0A061DWT7_THECC
A0A078F4B4	A0A078F4B4_BRANA
A0A078FJ58	A0A078FJ58_BRANA
A0A078G2D3	A0A078G2D3_BRANA
A0A078G3W7	A0A078G3W7_BRANA
A0A078GDG7	A0A078GDG7_BRANA
A0A078GEB0	A0A078GEB0_BRANA
A0A078GEM1	A0A078GEM1_BRANA
A0A078H0X7	A0A078H0X7_BRANA
A0A078HMG3	A0A078HMG3_BRANA
A0A078HNC1	A0A078HNC1_BRANA
A0A078HNP3	A0A078HNP3_BRANA
A0A078HSV6	A0A078HSV6_BRANA
A0A078HW57	A0A078HW57_BRANA
A0A078HXS3	A0A078HXS3_BRANA
A0A078I3Q4	A0A078I3Q4_BRANA
A0A078I478	A0A078I478_BRANA
A0A078I9Q6	A0A078I9Q6_BRANA
A0A078IC31	A0A078IC31_BRANA
A0A078IEU0	A0A078IEU0_BRANA
A0A078IKF2	A0A078IKF2_BRANA
A0A078IU37	A0A078IU37_BRANA
A0A078J5J3	A0A078J5J3_BRANA
A0A078J6L2	A0A078J6L2_BRANA
A0A087G700	A0A087G700_ARAAL
A0A087GSD1	A0A087GSD1_ARAAL
A0A087GYE5	A0A087GYE5_ARAAL
A0A087H1E6	A0A087H1E6_ARAAL
A0A087HS98	A0A087HS98_ARAAL
A0A0D3AIZ0	A0A0D3AIZ0_BRAOL
A0A0D3B7K8	A0A0D3B7K8_BRAOL
A0A0D3B8E3	A0A0D3B8E3_BRAOL
A0A0D3CPN8	A0A0D3CPN8_BRAOL
A0A0D3GQN3	A0A0D3GQN3_9ORYZ
A0A0J8BCR7	A0A0J8BCR7_BETVV
A0A199VZ16	A0A199VZ16_ANACO
A0A2R6X1B2	A0A2R6X1B2_MARPO
A0A388KVV9	A0A388KVV9_CHABU
A0A3N7GYU0	A0A3N7GYU0_POPTR
A0A5P1EAA7	A0A5P1EAA7_ASPOF
A0A7I8IK33	A0A7I8IK33_SPIIN
D7KFV8	D7KFV8_ARALL
D7KHM3	D7KHM3_ARALL
D7LE48	D7LE48_ARALL
D7LVF5	D7LVF5_ARALL
D7LX56	D7LX56_ARALL
D7M613	D7M613_ARALL
D7MDW8	D7MDW8_ARALL
D7MLK4	D7MLK4_ARALL
M4DCS0	M4DCS0_BRACM
M4DDE3	M4DDE3_BRACM
Q0WTF4	C81F3_ARATH
Q38Q39	ERF27_ARATH
Q8RYD3	Y3158_ARATH
Q945B4	AOP3L_ARATH
Q945B5	AOP2V_ARATH
Q9FJ90	ERF25_ARATH
Q9FKG2	EF107_ARATH
Q9FWW3	GSXL6_ARATH
Q9FWW6	GSXL1_ARATH
Q9LPU7	IGMT2_ARATH
Q9SRD4	IGMT5_ARATH
Q9SS01	AAE20_ARATH
Q9SYA9	STKLD_ARATH
Q9ZTA1	AOP3C_ARATH
V4KKL4	V4KKL4_EUTSA
V4KQI0	V4KQI0_EUTSA
V4L4X8	V4L4X8_EUTSA
V4LCE8	V4LCE8_EUTSA
V4LFT0	V4LFT0_EUTSA
V4LL10	V4LL10_EUTSA
V4M1W3	V4M1W3_EUTSA
V4MKG7	V4MKG7_EUTSA
V4MPS5	V4MPS5_EUTSA
V4SKX8	V4SKX8_CITCL
A0A058ZZ38	A0A058ZZ38_EUCGR
A0A059A0A9	A0A059A0A9_EUCGR
A0A059AE66	A0A059AE66_EUCGR
A0A059B236	A0A059B236_EUCGR
A0A059BJB9	A0A059BJB9_EUCGR
A0A059BVZ9	A0A059BVZ9_EUCGR
A0A061F7E8	A0A061F7E8_THECC
A0A067DTC1	A0A067DTC1_CITSI
A0A067E4B1	A0A067E4B1_CITSI
A0A067GUU4	A0A067GUU4_CITSI
A0A067GXS4	A0A067GXS4_CITSI
A0A068UBG2	A0A068UBG2_COFCA
A0A072UU47	A0A072UU47_MEDTR
A0A078FP62	A0A078FP62_BRANA
A0A078FPT9	A0A078FPT9_BRANA
A0A078FYF4	A0A078FYF4_BRANA
A0A078G6Z2	A0A078G6Z2_BRANA
A0A078GFN2	A0A078GFN2_BRANA
A0A078GXK3	A0A078GXK3_BRANA
A0A078GZA4	A0A078GZA4_BRANA
A0A078HHE0	A0A078HHE0_BRANA
A0A078HZ90	A0A078HZ90_BRANA
