EC	min_Km
1	7.3e-05
1.1.1	3e-07
1.1.1.1	3e-06
1.1.1.100	3.7e-06
1.1.1.183	3e-05
1.1.1.195	4.4e-06
1.1.1.205	9.1e-06
1.1.1.206	1.16e-05
1.1.1.22	2e-05
1.1.1.236	1.72e-06
1.1.1.25	1.7e-05
1.1.1.26	0.00015
1.1.1.27	1.25e-05
1.1.1.284	7e-06
1.1.1.288	2.02e-05
1.1.1.29	9e-05
1.1.1.3	0.000135
1.1.1.324	5.5e-06
1.1.1.334	5.1e-06
1.1.1.34	6.7e-05
1.1.1.37	1.01e-06
1.1.1.39	5e-06
1.1.1.40	1.2e-06
1.1.1.41	7e-06
1.1.1.42	1.7e-06
1.1.1.44	6e-06
1.1.1.49	6e-06
1.1.1.79	1.4e-06
1.1.1.8	2e-07
1.1.1.81	9e-05
1.1.1.82	1.14e-05
1.1.1.95	1e-05
1.1.1.n11	1.2e-06
1.1.3.15	2.3e-05
1.1.3.20	1.94e-05
1.10.3.1	0.00025
1.10.3.2	4e-05
1.11.1.11	7.4e-05
1.11.1.7	7.1e-07
1.13.11.12	1.51e-05
1.13.11.20	9e-05
1.13.11.27	4.3e-06
1.13.11.46	6.9e-06
1.13.11.53	4.4e-05
1.13.11.54	2.59e-05
1.13.11.71	1.52e-05
1.14	7e-06
1.14.11	5.9e-08
1.14.11.11	9e-06
1.14.11.13	2.4e-08
1.14.11.15	8.5e-07
1.14.11.2	2e-07
1.14.11.31	1.54e-05
1.14.11.32	1.9e-05
1.14.11.59	7e-05
1.14.13	3.5e-07
1.14.14	2.08e-06
1.14.14.102	1.5e-05
1.14.14.103	1.1e-05
1.14.14.111	2e-06
1.14.14.112	3.9e-05
1.14.14.137	1.3e-06
1.14.14.141	1.5e-06
1.14.14.145	5e-07
1.14.14.149	1.74e-06
1.14.14.151	1.2e-06
1.14.14.156	2.1e-05
1.14.14.176	0.000123
1.14.14.36	0.00014
1.14.14.37	1.3e-05
1.14.14.38	0.0012
1.14.14.40	6.7e-06
1.14.14.42	2.6e-05
1.14.14.43	0.00015
1.14.14.45	3e-06
1.14.14.58	2.68e-06
1.14.14.59	1.84e-06
1.14.14.70	2e-06
1.14.14.86	1.8e-06
1.14.14.88	4.97e-05
1.14.14.90	1.7e-07
1.14.14.91	3.4e-07
